Fecha;Region Hidrologica;Nombre Río;Aportes Caudal m3/s;Aportes Energía kWh;Aportes %
4/02/2016;ANTIOQUIA;MIEL I;12.048;581,000.000;0.1452500000
4/02/2016;ANTIOQUIA;NARE;10.377;3,661,300.000;0.3142746781
4/02/2016;ANTIOQUIA;PORCE II;23.677;3,014,100.000;0.4546153846
4/02/2016;ANTIOQUIA;PORCE III;5.978;441,100.000;0.3528800000
4/02/2016;ANTIOQUIA;SAN CARLOS;10.037;1,317,500.000;0.6522277228
4/02/2016;ANTIOQUIA;TENCHE;2.294;627,000.000;0.7837500000
4/02/2016;CARIBE;SINU URRA;68.580;737,000.000;0.5500000000
4/02/2016;CENTRO;AMOYA;9.295;1,084,400.000;0.6652760736
4/02/2016;CENTRO;BETANIA CP;39.540;591,800.000;0.2727188940
4/02/2016;CENTRO;BOGOTA N.R.;0.000;;
4/02/2016;CENTRO;EL QUIMBO;53.520;2,178,300.000;0.3457619048
4/02/2016;CENTRO;PRADO;15.610;184,100.000;0.2922222222
4/02/2016;CENTRO;SOGAMOSO;100.906;3,159,600.000;0.5007290016
4/02/2016;ORIENTE;BATA;6.700;1,127,600.000;0.4717991632
4/02/2016;ORIENTE;CHUZA;0.000;;
4/02/2016;ORIENTE;GUAVIO;10.300;2,408,500.000;0.5258733624
4/02/2016;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2,213,000.000;0.3868881119
4/02/2016;VALLE;ALTOANCHICAYA;14.650;1,560,300.000;0.3796350365
4/02/2016;VALLE;CALIMA;1.350;60,600.000;0.1409302326
4/02/2016;VALLE;CAUCA SALVAJINA;26.950;642,100.000;0.1850432277
4/02/2016;VALLE;DIGUA;17.080;218,100.000;0.7520689655
4/02/2016;VALLE;FLORIDA II;4.480;89,600.000;0.5973333333
5/02/2016;ANTIOQUIA;A. SAN LORENZO;10.482;2,393,900.000;0.4693921569
5/02/2016;ANTIOQUIA;CONCEPCION;1.894;517,700.000;0.3982307692
5/02/2016;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);3.766;1,029,400.000;0.5417894737
5/02/2016;ANTIOQUIA;DESV. MANSO;0.000;;
5/02/2016;ANTIOQUIA;GRANDE;8.524;2,673,500.000;0.3908625731
5/02/2016;ANTIOQUIA;GUADALUPE;8.181;2,236,200.000;0.6407449857
5/02/2016;ANTIOQUIA;GUATAPE;10.800;1,822,200.000;0.5104201681
5/02/2016;ANTIOQUIA;MIEL I;40.097;1,933,500.000;0.4833750000
5/02/2016;ANTIOQUIA;NARE;17.967;6,339,200.000;0.5441373391
5/02/2016;ANTIOQUIA;PORCE II;28.453;3,622,100.000;0.5463197587
5/02/2016;ANTIOQUIA;PORCE III;22.664;1,672,200.000;1.3377600000
5/02/2016;ANTIOQUIA;SAN CARLOS;9.689;1,271,800.000;0.6296039604
5/02/2016;ANTIOQUIA;TENCHE;3.249;888,100.000;1.1101250000
5/02/2016;CARIBE;SINU URRA;83.140;893,500.000;0.6667910448
5/02/2016;CENTRO;AMOYA;9.681;1,129,400.000;0.6928834356
5/02/2016;CENTRO;BETANIA CP;50.460;755,200.000;0.3480184332
5/02/2016;CENTRO;BOGOTA N.R.;2.760;1,097,800.000;0.3316616314
5/02/2016;CENTRO;EL QUIMBO;58.920;2,398,100.000;0.3806507937
5/02/2016;CENTRO;PRADO;7.200;84,900.000;0.1347619048
5/02/2016;CENTRO;SOGAMOSO;117.978;3,694,200.000;0.5854516640
5/02/2016;ORIENTE;BATA;7.230;1,216,800.000;0.5091213389
5/02/2016;ORIENTE;CHUZA;0.000;;
5/02/2016;ORIENTE;GUAVIO;14.290;3,341,600.000;0.7296069869
5/02/2016;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2,833,700.000;0.4954020979
5/02/2016;VALLE;ALTOANCHICAYA;19.010;2,024,600.000;0.4926034063
5/02/2016;VALLE;CALIMA;4.060;182,300.000;0.4239534884
5/02/2016;VALLE;CAUCA SALVAJINA;31.690;755,100.000;0.2176080692
5/02/2016;VALLE;DIGUA;15.160;193,600.000;0.6675862069
5/02/2016;VALLE;FLORIDA II;4.860;97,200.000;0.6480000000
6/02/2016;ANTIOQUIA;A. SAN LORENZO;10.536;2,406,300.000;0.4718235294
6/02/2016;ANTIOQUIA;CONCEPCION;1.875;512,500.000;0.3942307692
6/02/2016;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);3.734;1,020,700.000;0.5372105263
6/02/2016;ANTIOQUIA;DESV. MANSO;0.000;;
6/02/2016;ANTIOQUIA;GRANDE;9.036;2,834,100.000;0.4143421053
6/02/2016;ANTIOQUIA;GUADALUPE;13.517;3,694,700.000;1.0586532950
6/02/2016;ANTIOQUIA;GUATAPE;11.701;1,974,200.000;0.5529971989
6/02/2016;ANTIOQUIA;MIEL I;24.419;1,177,500.000;0.2943750000
6/02/2016;ANTIOQUIA;NARE;14.031;4,950,500.000;0.4249356223
6/02/2016;ANTIOQUIA;PORCE II;29.881;3,803,900.000;0.5737405732
6/02/2016;ANTIOQUIA;PORCE III;9.175;676,900.000;0.5415200000
6/02/2016;ANTIOQUIA;SAN CARLOS;9.382;1,231,500.000;0.6096534653
6/02/2016;ANTIOQUIA;TENCHE;2.031;555,200.000;0.6940000000
6/02/2016;CARIBE;SINU URRA;72.520;779,400.000;0.5816417910
6/02/2016;CENTRO;AMOYA;9.357;1,091,600.000;0.6696932515
6/02/2016;CENTRO;BETANIA CP;57.480;860,300.000;0.3964516129
6/02/2016;CENTRO;BOGOTA N.R.;0.000;;
6/02/2016;CENTRO;EL QUIMBO;72.990;2,970,800.000;0.4715555556
6/02/2016;CENTRO;PRADO;5.570;65,700.000;0.1042857143
6/02/2016;CENTRO;SOGAMOSO;125.678;3,935,300.000;0.6236608558
6/02/2016;ORIENTE;BATA;6.620;1,114,100.000;0.4661506276
6/02/2016;ORIENTE;CHUZA;0.000;;
6/02/2016;ORIENTE;GUAVIO;9.530;2,228,500.000;0.4865720524
6/02/2016;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2,606,400.000;0.4556643357
6/02/2016;VALLE;ALTOANCHICAYA;17.010;1,811,600.000;0.4407785888
6/02/2016;VALLE;CALIMA;1.360;61,100.000;0.1420930233
6/02/2016;VALLE;CAUCA SALVAJINA;30.140;718,200.000;0.2069740634
