Fecha;Recurso;Código Agente;Precio de Oferta Ideal $/kWh;Precio de Oferta de Despacho $/kWh;Precio de Oferta Declarado $/kWh
4/02/2016;ZIPAEMG 5;ENDG;161.523367;169.877;169.877
5/02/2016;ALBAN;EPSG;480.646367;455.000;489.000
5/02/2016;BARRANQUILLA 3;GECG;337.239367;343.961;345.593
5/02/2016;BARRANQUILLA 4;GECG;338.248367;343.416;346.602
5/02/2016;BETANIA;ENDG;860.077367;461.000;1000.000
5/02/2016;CALIMA;EPSG;860.076367;879.000;869.000
5/02/2016;CARTAGENA 1;ENDG;426.132367;439.075;434.486
5/02/2016;CARTAGENA 2;ENDG;430.721367;441.306;439.075
5/02/2016;CARTAGENA 3;ENDG;432.952367;434.486;441.306
5/02/2016;CHIVOR;CHVG;476.402367;493.110;484.756
5/02/2016;CIMARRON;TMRG;71.646367;80.000;80.000
5/02/2016;EL QUIMBO;ENDG;860.073367;1000.000;1000.000
5/02/2016;FLORES 1;TMFG;346.646367;345.000;355.000
5/02/2016;FLORES 4B;TMFG;330.082367;345.000;338.436
5/02/2016;GECELCA 3;GECG;163.897367;172.520;172.251
5/02/2016;GUAJIRA 1;GECG;190.232367;198.855;198.586
5/02/2016;GUAJIRA 2;GECG;183.701367;192.325;192.055
5/02/2016;GUATAPE;EPMG;421.646367;400.000;430.000
5/02/2016;GUATRON;EPMG;551.646367;800.000;560.000
5/02/2016;GUAVIO;ENDG;58.648367;445.000;67.002
5/02/2016;JAGUAS;ISGG;58.648367;1168.800;67.002
5/02/2016;LA TASAJERA;EPMG;541.646367;475.000;550.000
5/02/2016;MERILECTRICA 1;CIVG;351.646367;350.000;360.000
5/02/2016;MIEL I;ISGG;860.075367;67.002;1157.900
5/02/2016;PAGUA;ENDG;860.072367;460.000;1000.000
5/02/2016;PAIPA 1;HIMG;154.099367;162.453;162.453
5/02/2016;PAIPA 2;HIMG;135.174367;143.528;143.528
5/02/2016;PAIPA 3;HIMG;141.858367;150.212;150.212
5/02/2016;PAIPA 4;HIMG;129.499367;137.853;137.853
5/02/2016;PLAYAS;EPMG;391.646367;450.000;400.000
5/02/2016;PORCE II;EPMG;441.646367;445.000;450.000
5/02/2016;PORCE III;EPMG;451.646367;830.000;460.000
5/02/2016;PRADO;EPSG;860.074367;880.000;870.000
5/02/2016;PROELECTRICA 1;PRIG;270.316367;278.670;278.670
5/02/2016;PROELECTRICA 2;PRIG;270.316367;278.670;278.670
5/02/2016;SALVAJINA;EPSG;860.078367;890.000;880.000
5/02/2016;SAN CARLOS;ISGG;860.071367;451.000;868.425
5/02/2016;SOGAMOSO;ISGG;361.646367;1168.800;370.000
5/02/2016;TASAJERO 1;TRMG;152.626367;160.980;160.980
5/02/2016;TASAJERO 2;TERG;163.126367;171.480;171.480
5/02/2016;TEBSAB;GECG;335.834367;340.589;344.188
5/02/2016;TERMOCANDELARIA 1;TCIG;801.340367;858.323;858.323
5/02/2016;TERMOCANDELARIA 2;TCIG;801.711367;866.907;866.907
5/02/2016;TERMOCENTRO CC;ISGG;356.590367;287.310;364.944
5/02/2016;TERMODORADA 1;EPMG;706.186367;714.540;714.540
5/02/2016;TERMOEMCALI 1;TEMG;355.697367;364.051;364.051
5/02/2016;TERMOSIERRAB;EPMG;347.983367;365.699;356.337
5/02/2016;TERMOVALLE 1;TMVG;425.885367;434.239;434.239
5/02/2016;TERMOYOPAL 2;TYPG;71.646367;80.000;80.000
5/02/2016;URRA;EMUG;58.649367;67.003;67.003
5/02/2016;ZIPAEMG 2;ENDG;163.102367;196.096;171.456
5/02/2016;ZIPAEMG 3;ENDG;163.646367;196.728;172.000
5/02/2016;ZIPAEMG 4;ENDG;164.146367;197.674;172.500
5/02/2016;ZIPAEMG 5;ENDG;161.523367;193.758;169.877
6/02/2016;ALBAN;EPSG;541.646367;550.000;550.000
6/02/2016;BARRANQUILLA 3;GECG;337.239367;345.593;345.593
6/02/2016;BARRANQUILLA 4;GECG;338.248367;346.602;346.602
6/02/2016;BETANIA;ENDG;860.076367;1000.000;1000.000
6/02/2016;CALIMA;EPSG;860.075367;869.000;869.000
6/02/2016;CARTAGENA 1;ENDG;426.132367;434.486;434.486
6/02/2016;CARTAGENA 2;ENDG;432.952367;441.306;441.306
6/02/2016;CARTAGENA 3;ENDG;430.721367;439.075;439.075
6/02/2016;CHIVOR;CHVG;556.792367;565.146;565.146
6/02/2016;CIMARRON;TMRG;71.646367;80.000;80.000
6/02/2016;EL QUIMBO;ENDG;860.072367;1000.000;1000.000
6/02/2016;FLORES 1;TMFG;336.646367;345.000;345.000
6/02/2016;FLORES 4B;TMFG;327.909367;336.263;336.263
6/02/2016;GECELCA 3;GECG;163.897367;172.251;172.251
6/02/2016;GUAJIRA 1;GECG;190.232367;198.586;198.586
6/02/2016;GUAJIRA 2;GECG;183.701367;192.055;192.055
6/02/2016;GUATAPE;EPMG;421.646367;430.000;430.000
6/02/2016;GUATRON;EPMG;441.646367;450.000;450.000
6/02/2016;GUAVIO;ENDG;58.648367;67.002;67.002
6/02/2016;JAGUAS;ISGG;58.648367;67.002;67.002
6/02/2016;LA TASAJERA;EPMG;461.646367;470.000;470.000
6/02/2016;MERILECTRICA 1;CIVG;341.646367;350.000;350.000
6/02/2016;MIEL I;ISGG;860.074367;1157.900;1157.900
6/02/2016;PAGUA;ENDG;471.646367;480.000;480.000
6/02/2016;PAIPA 1;HIMG;154.099367;162.453;162.453
6/02/2016;PAIPA 2;HIMG;135.174367;143.528;143.528
6/02/2016;PAIPA 3;HIMG;141.858367;150.212;150.212
6/02/2016;PAIPA 4;HIMG;129.499367;137.853;137.853
6/02/2016;PLAYAS;EPMG;411.646367;420.000;420.000
6/02/2016;PORCE II;EPMG;811.646367;820.000;820.000
6/02/2016;PORCE III;EPMG;791.646367;800.000;800.000
6/02/2016;PRADO;EPSG;860.073367;870.000;870.000
6/02/2016;PROELECTRICA 1;PRIG;270.316367;278.670;278.670
6/02/2016;PROELECTRICA 2;PRIG;270.316367;278.670;278.670
