Codigo SIC;Nombre Recurso;Capacidad Efectiva Neta [MW];Factor de Conversi�n;Es Menor;Tipo Despacho;Combustible por Defecto;Fecha Operaci�n;Municipio;Departamento;Agente Representante;Estado Recurso;Tipo Generaci�n;Clasificaci�n
SFC1;SAN FRANCISCO (PUTUMAYO);0.468;0;SI;ND;AGUA;15/12/2012;SAN FRANCISCO;PUTUMAYO;GENERPUTUMAYO S.A.S. E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
BAR1;BARROSO;19.9;32;SI;ND;AGUA;30/11/2012;SALGAR;ANTIOQUIA;ISAGEN S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
SOGP;SOGAMOSO_P;546;13;NO;DC;AGUA;31/12/2014;GIRON;SANTANDER;ISAGEN S.A. E.S.P.;INACTIVO;HIDRAULICA;NORMAL
QUI1;EL QUIMBO;400;11;NO;DC;AGUA;16/11/2015;GIGANTE;HUILA;ENEL COLOMBIA SA ESP;OPERACI�N;HIDRAULICA;NORMAL
PES1;ITUANGO;1200;2;NO;DC;AGUA;1/12/2022;ITUANGO;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
CUC1;CUCUANA;56;59;NO;DC;AGUA;29/07/2015;RONCESVALLES;TOLIMA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;FILO DE AGUA
HMO1;HIDROMONTA�ITAS;19.9;3.7;SI;ND;AGUA;14/06/2012;DON MATIAS;ANTIOQUIA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
ALTG;ALTO TULUA;19.9;2.23;SI;ND;AGUA;28/05/2012;TULUA;VALLE DEL CAUCA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
MOY1;AMOYA LA ESPERANZA;80;48;NO;DC;AGUA;24/05/2013;CHAPARRAL;TOLIMA;ISAGEN S.A. E.S.P.;OPERACI�N;HIDRAULICA;FILO DE AGUA
STG1;SANTIAGO;2.8;2.8;SI;ND;AGUA;8/01/2011;SANTO DOMINGO;ANTIOQUIA;HIDROTOLIMA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
