Fecha;Código Agente;Precio de Oferta Ideal $/kWh;Precio de Oferta de Despacho $/kWh;Precio de Oferta Declarado $/kWh;Recurso
4/02/2024;EPSG;710.1761599;710.00001;710;PRADO
4/02/2024;PRIG;524.7661599;524.59;524.59;PROELECTRICA 1
4/02/2024;PRIG;524.7661599;524.59;524.59;PROELECTRICA 2
4/02/2024;ENDG;101.1761599;101;101;SALTO II
4/02/2024;EPSG;999.1761599;999;999;SALVAJINA
4/02/2024;ISGG;710.7761599;710.6;710.6;SAN CARLOS
4/02/2024;EPMG;92.81615988;92.64001;92.64;SAN FRANCISCO
4/02/2024;ISGG;89.96615988;89.79;89.79;SAN MIGUEL
4/02/2024;ISGG;89.96615988;89.79001;89.79;SOGAMOSO
4/02/2024;TRMG;120.1561599;119.98;119.98;TASAJERO 1
4/02/2024;TERG;120.4561599;120.28;120.28;TASAJERO 2
4/02/2024;TBSG;597.6321599;597.6321599;597.456;TEBSAB CC
4/02/2024;TCIG;656.5061599;656.33;656.33;TERMOCANDELARIA CC
4/02/2024;TCNG;1934.60816;1934.432;1934.432;TERMOCENTRO CC
4/02/2024;EPMG;2714.67716;2714.501;2714.501;TERMODORADA 1
4/02/2024;TEMG;1959.17117;1958.995;1958.995;TERMOEMCALI CC
4/02/2024;TMNG;960.1761599;960;960;TERMONORTE
4/02/2024;EPMG;1356.17016;1303.888;1303.888;TERMOSIERRA CC
4/02/2024;TMVG;690.8428265;504;504;TERMOVALLE CC
4/02/2024;TYPG;500.1761599;500;500;TERMOYOPAL 1
4/02/2024;TYPG;87.17615988;87;87;TERMOYOPAL 2
4/02/2024;TYPG;87.17615988;87.00002;87;TERMOYOPAL G3
4/02/2024;TYPG;87.17615988;87.00001;87;TERMOYOPAL G4
4/02/2024;TYPG;100.1761599;100;100;TERMOYOPAL G5
4/02/2024;EPSG;228.0491599;227.873;227.873;TESORITO
4/02/2024;EMUG;740.1761599;740;740;URRA
4/02/2024;ENDG;411.1761599;411;411;ZIPAEMG 2
4/02/2024;ENDG;370.1761599;370;370;ZIPAEMG 3
4/02/2024;ENDG;390.1761599;390;390;ZIPAEMG 4
4/02/2024;ENDG;360.1761599;360;360;ZIPAEMG 5
5/02/2024;EPSG;634.1761599;634;634;ALTO ANCHICAYA
5/02/2024;ISGG;306.0171599;305.841;305.841;AMOYA LA ESPERANZA
5/02/2024;TBSG;1021.87916;1021.703;1021.703;BARRANQUILLA 3
5/02/2024;TBSG;1037.20516;1037.029;1037.029;BARRANQUILLA 4
5/02/2024;ENDG;421.1761599;421;421;BETANIA
5/02/2024;EPSG;700.1761599;700;700;CALIMA
5/02/2024;HDPG;81.17615988;81.00001;81;CARLOS LLERAS
5/02/2024;NTCG;1303.49316;1303.317;1303.317;CARTAGENA 1
5/02/2024;NTCG;1373.94816;1373.772;1373.772;CARTAGENA 2
5/02/2024;NTCG;1463.52816;1463.352;1463.352;CARTAGENA 3
5/02/2024;CHVG;639.1761599;639;639;CHIVOR
5/02/2024;EPSG;97.96615988;97.79;97.79;CUCUANA
5/02/2024;ENDG;100.1761599;100.00001;100;DARIO VALENCIA SAMPER
5/02/2024;ENDG;420.1761599;420;420;EL QUIMBO
5/02/2024;HDPG;81.17615988;81;81;ESCUELA DE MINAS
5/02/2024;EPMG;92.81615988;92.64001;92.64;ESMERALDA
5/02/2024;TMFG;440.1761599;440;440;FLORES 4 CC
5/02/2024;TMFG;470.1761599;470;470;FLORES I CC
5/02/2024;GECG;232.0511599;231.875;231.875;GECELCA 3
5/02/2024;GECG;226.4281599;226.252;226.252;GECELCA 32
5/02/2024;GECG;471.9091599;471.733;471.733;GUAJIRA 1
5/02/2024;GECG;545.5071599;545.331;545.331;GUAJIRA 2
5/02/2024;EPMG;89.96615988;89.79002;89.79;GUATAPE
5/02/2024;EPMG;740.1761599;740.00001;740;GUATRON
5/02/2024;ENDG;686.1761599;686;686;GUAVIO
5/02/2024;EPMG;92.81615988;92.64003;92.64;ITUANGO
5/02/2024;ISGG;750.6761599;750.5;750.5;JAGUAS
5/02/2024;EPMG;89.96615988;89.79001;89.79;LA TASAJERA
5/02/2024;EPSG;968.5811599;968.405;968.405;MERILECTRICA 1
5/02/2024;ISGG;710.1761599;710;710;MIEL I
5/02/2024;ENDG;687.1761599;687;687;PAGUA
5/02/2024;HIMG;394.2361599;394.06;394.06;PAIPA 1
5/02/2024;HIMG;357.6631599;357.487;357.487;PAIPA 2
5/02/2024;HIMG;374.8141599;374.638;374.638;PAIPA 3
5/02/2024;SOCG;291.7461599;291.57;291.57;PAIPA 4
5/02/2024;EPMG;92.81615988;92.64;92.64;PLAYAS
5/02/2024;EPMG;710.1761599;710.00001;710;PORCE II
5/02/2024;EPMG;89.96615988;89.79;89.79;PORCE III
5/02/2024;EPSG;699.1761599;699;699;PRADO
5/02/2024;PRIG;524.7661599;524.59;524.59;PROELECTRICA 1
5/02/2024;PRIG;524.7661599;524.59;524.59;PROELECTRICA 2
5/02/2024;ENDG;101.1761599;101;101;SALTO II
5/02/2024;EPSG;999.1761599;999;999;SALVAJINA
5/02/2024;ISGG;89.96615988;89.79003;89.79;SAN CARLOS
5/02/2024;EPMG;92.81615988;92.64002;92.64;SAN FRANCISCO
5/02/2024;ISGG;89.96615988;89.79004;89.79;SAN MIGUEL
5/02/2024;ISGG;640.6761599;640.5;640.5;SOGAMOSO
5/02/2024;TRMG;120.1561599;119.98;119.98;TASAJERO 1
5/02/2024;TERG;120.4561599;120.28;120.28;TASAJERO 2
5/02/2024;TBSG;612.1691599;604.219;604.219;TEBSAB CC
5/02/2024;TCIG;661.8021599;661.626;661.626;TERMOCANDELARIA CC
5/02/2024;TCNG;1934.60816;1934.432;1934.432;TERMOCENTRO CC
5/02/2024;EPMG;2714.67716;2714.501;2714.501;TERMODORADA 1
5/02/2024;TEMG;1959.17116;1958.995;1958.995;TERMOEMCALI CC
5/02/2024;TMNG;960.1761599;960;960;TERMONORTE
5/02/2024;EPMG;1382.22316;1303.888;1303.888;TERMOSIERRA CC
5/02/2024;TMVG;515.1761599;515;515;TERMOVALLE CC
5/02/2024;TYPG;500.1761599;500;500;TERMOYOPAL 1
5/02/2024;TYPG;87.17615988;87;87;TERMOYOPAL 2
5/02/2024;TYPG;87.17615988;87.00002;87;TERMOYOPAL G3
5/02/2024;TYPG;87.17615988;87.00001;87;TERMOYOPAL G4
5/02/2024;TYPG;100.1761599;100;100;TERMOYOPAL G5
5/02/2024;EPSG;228.0491599;227.873;227.873;TESORITO
5/02/2024;EMUG;740.1761599;740;740;URRA
5/02/2024;ENDG;411.1761599;411;411;ZIPAEMG 2
5/02/2024;ENDG;370.1761599;370;370;ZIPAEMG 3
5/02/2024;ENDG;390.1761599;390;390;ZIPAEMG 4
5/02/2024;ENDG;360.1761599;360;360;ZIPAEMG 5
6/02/2024;EPSG;570.1761599;570;570;ALTO ANCHICAYA
6/02/2024;ISGG;262.4711599;262.295;262.295;AMOYA LA ESPERANZA
6/02/2024;TBSG;1018.69516;1018.519;1018.519;BARRANQUILLA 3
6/02/2024;TBSG;1033.97216;1033.796;1033.796;BARRANQUILLA 4
6/02/2024;ENDG;631.1761599;631;631;BETANIA
6/02/2024;EPSG;700.1761599;700;700;CALIMA
6/02/2024;HDPG;81.17615988;81.00001;81;CARLOS LLERAS
6/02/2024;NTCG;1303.49316;1303.317;1303.317;CARTAGENA 1
6/02/2024;NTCG;1373.94816;1373.772;1373.772;CARTAGENA 2
6/02/2024;NTCG;1463.52816;1463.352;1463.352;CARTAGENA 3
6/02/2024;CHVG;89.96615988;89.79;89.79;CHIVOR
6/02/2024;EPSG;97.96615988;97.79;97.79;CUCUANA
6/02/2024;ENDG;100.1761599;100;100;DARIO VALENCIA SAMPER
6/02/2024;ENDG;630.1761599;630;630;EL QUIMBO
6/02/2024;HDPG;81.17615988;81;81;ESCUELA DE MINAS
6/02/2024;EPMG;92.81615988;92.64002;92.64;ESMERALDA
6/02/2024;TMFG;440.1761599;440;440;FLORES 4 CC
6/02/2024;TMFG;470.1761599;470;470;FLORES I CC
6/02/2024;GECG;232.5641599;232.388;232.388;GECELCA 3
6/02/2024;GECG;226.9411599;226.765;226.765;GECELCA 32
6/02/2024;GECG;490.6901599;490.514;490.514;GUAJIRA 1
6/02/2024;GECG;546.2611599;546.085;546.085;GUAJIRA 2
6/02/2024;EPMG;89.96615988;89.79005;89.79;GUATAPE
6/02/2024;EPMG;720.1761599;720;720;GUATRON
6/02/2024;ENDG;625.1761599;625;625;GUAVIO
6/02/2024;EPMG;92.81615988;92.64001;92.64;ITUANGO
6/02/2024;ISGG;550.1761599;550;550;JAGUAS
6/02/2024;EPMG;89.96615988;89.79002;89.79;LA TASAJERA
6/02/2024;EPSG;968.5811599;968.405;968.405;MERILECTRICA 1
6/02/2024;ISGG;710.1761599;710.00001;710;MIEL I
6/02/2024;ENDG;91.37615988;91.2;91.2;PAGUA
6/02/2024;HIMG;394.2361599;394.06;394.06;PAIPA 1
6/02/2024;HIMG;357.6631599;357.487;357.487;PAIPA 2
6/02/2024;HIMG;374.8141599;374.638;374.638;PAIPA 3
6/02/2024;SOCG;291.7461599;291.57;291.57;PAIPA 4
6/02/2024;EPMG;92.81615988;92.64;92.64;PLAYAS
6/02/2024;EPMG;710.1761599;710;710;PORCE II
6/02/2024;EPMG;89.96615988;89.79001;89.79;PORCE III
6/02/2024;EPSG;685.1761599;685;685;PRADO
6/02/2024;PRIG;524.7661599;524.59;524.59;PROELECTRICA 1
6/02/2024;PRIG;524.7661599;524.59;524.59;PROELECTRICA 2
6/02/2024;ENDG;101.1761599;101;101;SALTO II
6/02/2024;EPSG;999.1761599;999;999;SALVAJINA
6/02/2024;ISGG;89.96615988;89.79004;89.79;SAN CARLOS
6/02/2024;EPMG;92.81615988;92.64003;92.64;SAN FRANCISCO
6/02/2024;ISGG;89.96615988;89.79003;89.79;SAN MIGUEL
6/02/2024;ISGG;603.1761599;603;603;SOGAMOSO
6/02/2024;TRMG;120.1561599;119.98;119.98;TASAJERO 1
6/02/2024;TERG;120.4561599;120.28;120.28;TASAJERO 2
6/02/2024;TBSG;607.9524932;601.298;601.298;TEBSAB CC
6/02/2024;TCIG;661.6831599;661.507;661.507;TERMOCANDELARIA CC
6/02/2024;TCNG;1934.60816;1934.432;1934.432;TERMOCENTRO CC
6/02/2024;EPMG;2714.67716;2714.501;2714.501;TERMODORADA 1
6/02/2024;TEMG;1959.17117;1958.995;1958.995;TERMOEMCALI CC
6/02/2024;TMNG;960.1761599;960;960;TERMONORTE
6/02/2024;EPMG;1382.22316;1303.888;1303.888;TERMOSIERRA CC
6/02/2024;TMVG;518.1761599;518;518;TERMOVALLE CC
6/02/2024;TYPG;500.1761599;500;500;TERMOYOPAL 1
6/02/2024;TYPG;87.17615988;87.00001;87;TERMOYOPAL 2
6/02/2024;TYPG;87.17615988;87;87;TERMOYOPAL G3
6/02/2024;TYPG;87.17615988;87.00002;87;TERMOYOPAL G4
6/02/2024;TYPG;100.1761599;100.00001;100;TERMOYOPAL G5
6/02/2024;EPSG;228.0491599;227.873;227.873;TESORITO
6/02/2024;EMUG;740.1761599;740;740;URRA
